"symbol","log2fc","effectsize","pvalue","pvalue_adjust","hgnc_id","hgnc_symbol","entrez_id","gene","signif"
"COPE",-1.8225608366986,-27.3267715102187,8.52206926548487e-14,2.94461742913095e-12,"HGNC:2234","COPE",11316,11316,TRUE
"GLG1",-2.66632640927183,-27.2933511399348,8.6705775834298e-14,2.97177054270779e-12,"HGNC:4316","GLG1",2734,2734,TRUE
"ERGIC1",-1.67913900685275,-27.1968398734641,9.11517327355951e-14,3.09915891301023e-12,"HGNC:29205","ERGIC1",57222,57222,TRUE
"TRIM28",-4.07186183879132,-27.0376318152518,9.9026797486011e-14,3.34018959774243e-12,"HGNC:16384","TRIM28",10155,10155,TRUE
"RPL10",-3.03406738566553,-27.0052008374894,1.00718338849081e-13,3.37049559140626e-12,"HGNC:10298","RPL10",6134,6134,TRUE
"BRI3BP",-1.48842635684807,-26.9526598133495,1.03524636615977e-13,3.41783091638182e-12,"HGNC:14251","BRI3BP",140707,140707,TRUE
"ARSB",-2.009736470454,-26.9486682314413,1.0374122075606e-13,3.41783091638182e-12,"HGNC:714","ARSB",411,411,TRUE
"EEF1G",-1.99627683216315,-26.8687078547783,1.08183432398514e-13,3.5367660591822e-12,"HGNC:3213","EEF1G",1937,1937,TRUE
"PDIA6",-2.35648320019692,-26.8429886342488,1.09655116643532e-13,3.55751332622147e-12,"HGNC:30168","PDIA6",10130,10130,TRUE
"ANP32B",-3.57635734106213,-26.7560050279026,1.14793012261514e-13,3.69598713720782e-12,"HGNC:16677","ANP32B",10541,10541,TRUE
"RBBP7",-2.86839130416707,-26.7365547213069,1.15976708618811e-13,3.70602264383418e-12,"HGNC:9890","RBBP7",5931,5931,TRUE
"RPS10",-3.07725914717705,-26.2687145559355,1.48759958216497e-13,4.71813300313515e-12,"HGNC:10383","RPS10",6204,6204,TRUE
"EIF3C",-2.29678423353776,-26.2481726422474,1.50409587456985e-13,4.73511664216435e-12,"HGNC:3279","EIF3C",8663,8663,TRUE
"HEXA",-2.10088533351949,-26.1661582893194,1.57193164709575e-13,4.91228639717421e-12,"HGNC:4878","HEXA",3073,3073,TRUE
"RPS19",-2.78682024737598,-26.1435847446777,1.59117100380031e-13,4.93611442784768e-12,"HGNC:10402","RPS19",6223,6223,TRUE
