"","symbol","log2fc","effectsize","pvalue","pvalue_adjust","hgnc_id","hgnc_symbol","entrez_id","gene","signif"
"2773","TOP1MT",0.691928898629975,0.691928898629975,3.35521521536251e-05,0.000141413179724955,"HGNC:29787","TOP1MT",116447,116447,FALSE
"2774","TBC1D14",0.596626711706171,0.596626711706171,3.39044118473916e-05,0.000142855780071945,"HGNC:29246","TBC1D14",57533,57533,FALSE
"2775","PCSK7",-0.827434395354443,-0.827434395354443,3.39331780544775e-05,0.000142934896903597,"HGNC:8748","PCSK7",9159,9159,FALSE
"2776","ARMCX4",0.563645760287356,0.563645760287356,3.42313341275908e-05,0.000144105960585966,"HGNC:28615","ARMCX4",100131755,100131755,FALSE
"2777","DNAH5",-0.903778502864396,-0.903778502864396,3.43001809717573e-05,0.000144353320448493,"HGNC:2950","DNAH5",1767,1767,FALSE
"2778","AATK",0.752111335092892,0.752111335092892,3.45211561999821e-05,0.000145240583377108,"HGNC:21","AATK",9625,9625,FALSE
"2779","IL10RB",-1.60537827173966,-1.60537827173966,3.51388258939659e-05,0.000147795843538142,"HGNC:5965","IL10RB",3588,3588,FALSE
"2780","PLA2G5",1.21351766863422,1.21351766863422,3.55107747882051e-05,0.000149272525394955,"HGNC:9038","PLA2G5",5322,5322,FALSE
"2781","MAN2B1",-0.721543372461846,-0.721543372461846,3.5558421033525e-05,0.000149408061000278,"HGNC:6826","MAN2B1",4125,4125,FALSE
"2782","SEZ6L2",-0.821599097464897,-0.821599097464897,3.55639007454711e-05,0.000149408061000278,"HGNC:30844","SEZ6L2",26470,26470,FALSE
"2783","LARP6",-0.828697812109693,-0.828697812109693,3.56448304176034e-05,0.00014970410286043,"HGNC:24012","LARP6",55323,55323,FALSE
"2784","DLGAP2",0.629567752611922,0.629567752611922,3.57095777003866e-05,0.000149932026794258,"HGNC:2906","DLGAP2",9228,9228,FALSE
"2785","PCYOX1",-0.531837630262457,-0.531837630262457,3.58060376793543e-05,0.000150292928469897,"HGNC:20588","PCYOX1",51449,51449,FALSE
"2786","ATG101",-0.678979944353972,-0.678979944353972,3.58557106575878e-05,0.000150457291436781,"HGNC:25679","ATG101",60673,60673,FALSE
"2787","MMD",0.529224530740455,0.529224530740455,3.59281267862452e-05,0.000150716964580587,"HGNC:7153","MMD",23531,23531,FALSE
"2788","MCEE",0.841126099527389,0.841126099527389,3.62768975702938e-05,0.000152090866490869,"HGNC:16732","MCEE",84693,84693,FALSE
"2789","NSD1",0.583436591092389,0.583436591092389,3.63061567105424e-05,0.000152168950313753,"HGNC:14234","NSD1",64324,64324,FALSE
"2790","ALKAL2",-2.44159984546391,-2.44159984546391,3.661697821942e-05,0.000153426747098589,"HGNC:27683","ALKAL2",285016,285016,FALSE
"2791","STRADA",-0.786978272204998,-0.786978272204998,3.67528273786023e-05,0.000153905825859063,"HGNC:30172","STRADA",92335,92335,FALSE
"2792","CSE1L",-0.564223335657653,-0.564223335657653,3.70088988724755e-05,0.000154932806894749,"HGNC:2431","CSE1L",1434,1434,FALSE
"2793","SLC17A5",-1.04476308991839,-1.04476308991839,3.71308726320021e-05,0.000155397969140485,"HGNC:10933","SLC17A5",26503,26503,FALSE
"2794","TIMP2",-0.501661448872288,-0.501661448872288,3.7554843010357e-05,0.000157126388489824,"HGNC:11821","TIMP2",7077,7077,FALSE
"2795","ARL6IP5",-0.537952784397152,-0.537952784397152,3.78423756033974e-05,0.000158283119704476,"HGNC:16937","ARL6IP5",10550,10550,FALSE
"2796","SLC39A3",-0.609965598903683,-0.609965598903683,3.79165871515662e-05,0.000158547178711794,"HGNC:17128","SLC39A3",29985,29985,FALSE
"2797","PARM1",-0.843100537216694,-0.843100537216694,3.82306579658892e-05,0.000159813755429129,"HGNC:24536","PARM1",25849,25849,FALSE
"2798","PDHX",-0.639488012767351,-0.639488012767351,3.85395249118215e-05,0.000161010821011169,"HGNC:21350","PDHX",8050,8050,FALSE
"2799","NABP1",-1.65081873427289,-1.65081873427289,3.85610953494107e-05,0.000161053915164833,"HGNC:26232","NABP1",64859,64859,FALSE
"2800","PANK4",-0.879417429194745,-0.879417429194745,3.86689990912506e-05,0.00016145745783388,"HGNC:19366","PANK4",55229,55229,FALSE
